,Unnamed: 0,judul,nim,kata_kunci,mix_feature
60,60,PEMBUATAN MIDDLEWARE UNTUK MENGHUBUNGKAN APLIKASI CHATTING TELEGRAM DENGAN APLIKASI CHATTING MODIFIKASI,71160066,"Chat bridge, Middleware, Telegram bot, Instant messenger",middleware hubung aplikasi chatting telegram aplikasi chatting modifikasi muncul aplikasi chatting tukar pesan cipta manusia komunikasi pilih aplikasi chatting sedia timbul aplikasi chatting sebar batas giat kirim pesan aplikasi chatting faktor salah alas buah aplikasi chatting mati aplikasi chatting jarang tinggal bangun middleware hubung salah aplikasi chatting popular telegram aplikasi chatting modifikasi middleware manfaat website hook api giat tukar pesan telegram bot implementasi bawa pesan koneksi akun beda middleware milik database simpan data kontak status teman middleware bangun sesuai harap uji ukur performance middleware tugas salur pesan aplikasi chatting modifikasi sederhana tulis uji middleware bangun uji tipe pesa teks gambar data pengaruh performance miring slope grafik trend linear 0 pesan file ukur pengaruh performance miring pesan kirim telegram 2 pesan kirim telegram chat bridge middleware telegram bot instant messenger
61,61,"PERANCANGAN DASHBOARD UNTUK WEBSITE MASHUP
SOSIAL MEDIA MENGGUNAKAN METODE GOAL DIRECTED DESIGN",71150109,"Goal-Directed Design, dashboard, mashup.",ancang dashboard website mashup sosial media goal directed design salah kembang teknologi internet lahir komunikasi media sosial istilah media sosial susun media sosial media alat komunikasi sosial sosial individu aksi kontribusi masyarakat media perangkat lunak sosial makna produk proses sosial erti simpul media sosial alat komunikasi interaksi hidup sosial media sosial populer indonesia youtube whatsapp facebook messenger we chat instagram fokus aplikasi jejaring sosial media facebook instagram aplikasi populer indonesia mashup istilah bentuk portal mashup situs aplikasi website  kombinasi konten rancang dashboard mashup sosial media goal directed design dasar uji performance matrics evaluasi aspek task succes aspek time on task combining metrics aspek aspek antarmuka puas hitung dasar usability scale sus rata skor adjective rating good acceptable goal-directed design dashboard mashup
62,62,STUDI KOMPARASI PERFORMA NGINX DAN HAPROXY SEBAGAI LOAD BALANCER DI CLOUD MENGGUNAKAN TEKNOLOGI KONTAINER,71160004,"Load balancer, Cloud Computing, Docker, Container, Load Testing",studi komparasi performance nginx haproxy load balancer cloud teknologi kontainer high availability scalability server milik sektor industri salah konsep pakai teknologi horizontal scaling horizontal scaling capai load balancer teknologi adaptive teknologi kontainerisasi teknologi pakai load balancer banding performance nginx haproxy load balancer sisi response time error rate jalan docker virtual machine aws gcp banding spesifikasi virtual machine dasar konfigurasi tulis aws tangan beban 8 persen gcp simpul sisi response time umum nginx performance banding haproxy load balancer jalan vm spesifikasi haproxy milik error rate stabil banding nginx load balancer cloud computing docker container load testing
63,63,REPRESENTASI PENGETAHUAN UNTUK OBJEK MAKANAN DAN MINUMAN TRADISIONAL BERBASIS WEB ONTOLOGY LANGUAGE (OWL),71150062,"Semantic web, On-To-Knowledge, makanan, minuman",representasi objek makan minum tradisional bas website  ontologi  language owl makan minum tradisional indonesia waris budaya milik dokumentasi dokumentasi resep data makan tradisional semantic website  semantic website  kerangka aplikasi manipulasi website semantic website  mudah hubung makan minum tradisional representasi bentuk owl website  ontologi  language bangun ontologi  metodologi methontology cyc on-to-knowledge wsdm tulis metodologi on-to-knowledge bangun ontologi makan minum tradisional metodologi on-to-knowledge tahap feasibility study kick-off refinement evaluation maintenance tulis tahap feasibility study kick-off refinement evaluation tahap feasibility study temu makan minum tradisional dokumentasi nama hilang lapar hilang dahaga tahap kick-off rancang description logic dasar bangun ontologi  makan minum tradisional ancang t-box tahap refinement ekstraksi bangun ontologi  ontologi  makan minum tradisional evaluasi reasoner hermit ontologi  konsisten uji description logic query ukur akurasi ontologi  uji ontologi  bangun milik akurasi konsisten ontologi  bangun langkah masak literal sulit uji semantic website  on-to-knowledge makan minum
64,64,ANALISIS FAKTOR OPTIMASI UNTUK DATA WAREHOUSE DENGAN DATA TABUNGAN PADA BANK XYZ,71150012,"basis data, data warehouse, optimasi, big data", analisa faktor optimasi data warehouse data tabung bank xyz kembang proses teknologi manfaat usaha bisnis saji data integrasi konsisten data warehouse ilmu tunjang proses  analisa usaha sedia data integrasi sumber basis data iring kompleksitas data usaha media komputer simpan data resource tahun pemprosesan data media simpan upa basis data optimal proses  analisa usaha jalan cepat efisien tulis bangun data warehouse tabel kondisi mapping data tabel optimasi 7 kondisi beda kombinasi partisi bucketing kompresi analisa performance tabel query  analisa sederhana performance analisa segi waktu jalan query ruang simpan tabel dasar uji 3 query simpul kompresi bucketing cepat rata jalan query kompresi data pengaruh rata ukur ruang simpan data 8 banding tabel kompresi kompresi lambat rata jalan waktu query lipat basis data data warehouse optimasi big data
65,65,PENERAPAN SISTEM PENGELOLAAN WORKFLOW UNTUK MENDUKUNG SURAT MENYURAT DI SINODE GKJ,71160002,"Alur kerja, Surat masuk, Laravel",terap kelola workflow dukung surat surat sinode gkj kelola surat sinode gkj manual faktor proses surat kait tugas wenang mendesposisikan surat tugas kantor faktor pemrosesan surat hambat tulis putus bangun kelola workflow bantu surat surat sinode gkj bantu tangan proses kelola surat registrasi desposisi arsip surat tulis wawancara butuh rancang workflow pemrosesan surat rancang restful dasar workflow rancang rancang basis data antarmuka kembang restful bas website  rancang framework laravel uji api uji workflow bangun kelola workflow bantu surat surat sinode gkj dasar uji api uji sesuai harap uji workflow uji sesuai harap alur surat laravel
66,66,IDENTIFIKASI ARSITEKTUR INFORMASI SITUS WEB UNIVERSITAS,71150153,"arsitektur informasi, sistem organisasi, sistem pelabelan, sistem navigasi, dan situs universitas.",identifikasi arsitektur situs website  universitas situs user cepat situs butuh waktu mendapatka user situs universitas salah contoh user ajar calon mahasiswa cari kait universitas akses situs universitas peran situs universitas mudah user cepat situs universitas sulit user salah user sulit temu ketidaklengkapan arsitektur situs universitas arsitektur buah situs organisasi label navigasi cari rosenfeld morville arango tulis identifikasi arsitektur organisasi label navigasi objek upa situs universitas negeri negeri peringkat dasar situs www website ometrics info identifikasi arsitektur puluh situs universitas susun bentuk tabel tabel tulis  analisa deskriptif banding elemen arsitektur puluh situs universitas  analisa puluh situs universitas tulis simpul skema organisasi ambigitious-topical tujuh puluh situs universitas struktur organisasi hierarchy-strict situs universitas iconic label facebook twitter situs universitas textual label upa prosedur terima mahasiswa reputasi akademik jurus program peta lokasi contact detail pakai situs universitas navigasi situs universitas navigasi global cari arsitektur organisasi label navigasi situs universitas
67,67,PERANCANGAN ANTARMUKA APLIKASI KIOSK UNTUK INFORMASI BANK X,71160011,"Aplikasi Web, Humanoid Robot, UCD, Task scenario, Bank X",ancang antarmuka aplikasi kiosk bank analisa user interface humanoid robot promosi produk bank bank promosi produk nasabah tarik buah aplikasi website  tampil tablet pasang dada humanoid robot humanoid robot interaksi nasabah bicara sesuai fitur-fitur pilih nasabah milik alam interaksi manusia aplikasi website  rancang ucd user ucd design fitur-fitur sesuai butuh nasabah bank humanoid robot letak cabang digital bank aplikasi website  isi transaksi cabang digital bank promo-promo fitur-fitur hibur aplikasi website  uji task scenario ueq parameter nyaman aplikasi website  uji bilang excellent uji ueq tulis harap sempurna fitur-fitur aplikasi website  humanoid robot ucd task scenario bank
68,68,PEMBANGUNAN DASHBOARD PENJUALAN TUNAI PADA BISNIS RITEL,71170229,"Penjualan Tunai, Data Mart, KPI, Dashboard",bangun dashboard jual tunai bisnis ritel data transaksi manifestasi proses jual tunai bisnis ritel data transaksi simpan basis data pisah toko milik usaha bisnis ritel data transaksi simpan rekap lapor bentuk sheet mudah usaha bisnis ritel baca analisa data jual tunai visualisasi dashboard visualisasi dashboard dasar data mart jual tunai bangun data mart sesuai key performance indicator kpi milik usaha kpi proses wawancara usaha data mart membersikan olah data transaksional toko milik usaha data historis data historis bangun dashboard muka dashboard bangun bahasa pemrograman python framework plotly dash evaluasi user experience kuesioner user experience questionnaire ueq excellent skala skala excellent tinggi daya tarik 2 2 susul skala excellent 2 efisiensi 2 2 stimulasi 2 jual tunai data mart kpi dashboard
69,69,EVALUASI DAN PERANCANGAN ULANG TAMPILAN ANTARMUKA APLIKASI SEHATQ TERHADAP LANSIA,71150128,"Lansia, Usability Testing, ISO 9241-11, UCD (User Centered Design), SUS (System Usability Testing)",evaluasi ancang ulang tampil antarmuka aplikasi sehatq lansia fokus rancang desain ulang antarmuka aplikasi sehatq lansia umur tahun bangun ulang antarmuka aplikasi sehatq user friendly lansia objek antarmuka aplikasi sehatq 0 aplikasi temu salah desain antarmuka sulit lansia standar iso 9241-11 usability testing iso 9241-11 evaluasi kualitas hitung effectiveness efficiency satisfaction user ucd design ucd butuh lansia antarmuka aplikasi sasar ubah desain antarmuka aplikasi sehatq lansia jalan aplikasi ubah antarmuka 1 layout grid menu utama tampil fitur-fitur menu utama 2 warna kontras background elemen antarmuka 3 font rentang ukur 4 icon ukur hdpi usability testing desain ulang temu persentase efektivitas responden efisiensi puas simpul desain ulang antarmuka aplikasi sehatq terima lansia lansia usability testing iso 9241-11 ucd user ucd design sus usability testing
70,70,IMPLEMENTASI ALGORITMA BELLMAN-FORD UNTUK PENCARIAN JALUR TERPENDEK MENUJU RUMAH SAKIT DI KOTA YOGYA BERBASIS ANDROID,71150029,"Bellman-Ford, Android, pencarian jalur terpendek",implementasi algoritma bellman-ford cari jalur pendek rumah sakit kota yogya bas android kota yogyakarta kota ajar kota wisata wisatawan ajar kota yogyakarta ajar libur lokasi rumah sakit kota yogyakarta aplikasi cari jalur pendek rumah sakit algoritma bellman-ford bas android algoritma bellman-ford salah algoritma cari jalur pendek proses tulis ambil data upa koordinat jalan koordinat rumah sakit graf graf tulis algoritma bellman-ford cari jalur pendek cari jalur pendek banding cari google maps uji cari jalur pendek algoritma bellman-ford jalur pendek google maps rata jarak banding rata jarak google maps uji temu verteks edge data pengaruh proses algoritma cari jalur pendek algoritma bellman-ford ecek verteks edge bellman-ford android cari jalur pendek
71,71,PERBANDINGAN PENGGUNAAN METODE DEMPSTER SHAFER DENGAN CERTAINTY FACTOR PADA KASUS DIAGNOSA PENYAKIT KELINCI HIAS,71150144,"dempster shafer, forward chaining, certainty factor, rule-based system.",banding dempster shafer certainty factor diagnosa sakit kelinci hias pakar buah usaha adopsi pakar buah bangun pakar contoh dempster shafer certainty factor fokus banding dempster shafer certainty factor diagnosis sakit kelinci hias certainty factor bahan banding atmaja judul pakar diagnosis sakit kelinci certainty factor kembang aplikasi aplikasi bangun atmaja hitung dempster shafer diagnosis sakit kelinci representasi atmaja upa rule-based mesin inferensi forward chaining certainty factor dempster shafer proses hitung dasar contoh banding akurasi certainty factor dempster shafer certainty factor dempster shafer dempster shafer forward chaining certainty factor rule-based
72,72,PEMBUATAN DATASET KATA SINGKATAN BAHASA INDONESIA MENGGUNAKAN METODE CROWDSOURCING,71150166,"crowdsourcing, dataset",dataset singkat bahasa indonesia crowdsourcing crowdsourcing kumpul data manfaat sumber lingkung crowdsourcing kumpul data singkat bahasa indonesia kumpul paham kalang mudah cepat bentuk dataset singkat bahasa indonesia crowdsourcing kumpul data sumber upa tweet kumpul twitter data sortir dasar verifikasi isi tweet proses tweet sortir database tampil kuesioner website  responden terap crowdsourcing sebar kuesioner website  responden responden data uji proses isi dataset singkat bahasa indonesia dataset tampil tabel isi singkat keywords crowdsourcing dataset
73,73,ANALISIS USER INTERFACE DAN USER EXPERIENCE PADA SISTEM INFORMASI KERJA PRAKTIK INFORMATIKA UKDW,71150063,"User Centered Design, Kerja Praktik, System Usability Scale,
Analisis Situs Web", analisa user interface user experience praktik informatika ukdw praktik informatika proyek prodi informatika butuh praktik kembang segi fitur-fitur antarmuka tampil antarmuka kembang mahasiswa informatika situs website  sulit dosen koordinator praktik informatika lengkap penuh mudah survei sederhana wawancara skenario tugas user ucd design analisa situs website  praktik informatika ukur efektivitas efisien puas ukur puas usability scale sus temu uji responden analisa  analisa mudah kembang tahap tahap ukur efektivitas efesiensi puas  analisa tahap tampil desain ulang dasar saran user ucd design praktik usability scale  analisa situs website 
74,74,PENERAPAN DESAIN JARINGAN NRF24L01 BERBASIS APLIKASI IoT PADA SISTEM MONITORING AKTIVITAS PENGAWASAN GEDUNG,71160065,"Internet of Things, penjadwalan satpam, QR Code dinamis, MQTT, NRF24L01, Android",terap desain jaring bas aplikasi iot monitoring aktivitas awas gedung salah tindak preventif tugas satpam jaga aman tertib awas kontrol rutin lingkung selesai jaga buah lokasi tugas pos induk catat awas buku giat waktu efektif tugas giat awas jarak lokasi jaga pos induk implementasi jaring bas aplikasi internet of things iot solusi 2 jenis perangkat jaring gateway node komunikasi data lokasi jaga buah aplikasi website  manfaat kirim data shift key unik gateway jaring mqtt payload shift terima gateway node sesuai jaring node konversi shift key terima qr code tampil lcd tugas aplikasi android pindai qr code lapor kondisi lokasi dasar simpul implementasi butuh perangkat gateway posisi strategis komunikasi enam perangkat node lokasi jaga tugas satpam sebar lingkung ukdw implementasi sukses tugas lapor lokasi awas mudah pos induk jaga aman akurat data qr code dinamis internet of things jadwal satpam qr code dinamis mqtt android
75,75,PENERAPAN INTERNET OF THINGS DALAM SISTEM PENCARIAN TEMPAT PARKIR DENGAN METODE FMADM,71160061,"Internet of Things, Rekomendasi Tempat Parkir, Algoritma FMADM, NodeMCU ESP8266, Modul Laser, Android, Flutter, Sails JS",terap internet of things cari parkir fmadm supir bus pariwisata kunjung malioboro terkadang alami sulit cari parkir supir bus ruang parkir parkir cari parkir akibat waktu kunjung potong cegah bas komputer rekomendasi parkir bus waktu kunjung efektif efisien sedia aplikasi rekomendasi parkir algoritma fmadm terap internet of things aplikasi jalan platform android rekomendasi perhati 3 kriteria slot sisa jarak durasi sisa slot parkir hitung bus parkir pintu parkir pasang alat deteksi bus mikrokontroler nodemcu laser transmitter laser receiver jarak durasi google distance matrix api aplikasi rekomendasi parkir bahasa pemrograman flutter sails js uji implementasi algoritma fmadm akurasi alat deteksi bus performance aplikasi rekomendasi parkir uji bukti rekomendasi algoritma fmadm milik persentase perhati slot sisa parkir perhati jarak waktu tempuh parkir deteksi bus sensor laser milik akurasi supir bus mudah cepat pilih parkir kunjung malioboro internet of things rekomendasi parkir algoritma fmadm nodemcu modul laser android flutter sails js
76,76,PENINGKATAN USABILITAS ANTARMUKA WEB PEMESANAN MAKANAN STUDI KASUS : E-COMMERCE PT. KDM,71170169,"Usability testing, Performance based metrics, System usability scale, Peningkatan usabilitas",usabilitas antarmuka website  mesan makan studi e-commerce pt kdm situs website  food kdm salah situs jual beli produk makan minum situs raup untung jual produk makan minum alam situs perhati usabilitas mudah situs usabilitas tampil antarmuka situs pengingkatan usabilitas ukur performance based metrics usability scale ukur task success respoonden gagal tugas ukur time on task perhati waktu responden selesai tugas ukur error perhati salah responden tugas ukur efficiency hitung kombinasi taks success time on task acu uji temu usabilitas antarmuka bukti usabilitas kombinasi task success time on task error usability scale efficiency alami alami usability testing performance based metrics usability scale usabilitas
77,77,IMPLEMENTASI PROTOKOL PENDUKUNG SINGLE SIGN-ON BERDASAR SISTEM IDENTITY DAN ACCESS MANAGEMENT KEYCLOAK,71150013,"SSO, Keycloak, prototype, RESTful API",implementasi protokol dukung single sign-on dasar identity access management keycloak single sign-on sso mudah proses autentikasi otorisasi akun proses autentikasi akses layan sso terap rumit implementasi sso terap protokol kukic gambar proses prototype sinode wilayah gki siswa gki terap sso keycloak sedia identitas manajemen akses arsitektur kembang bas restful api aplikasi front-end kembang platform website  desktop mobile autentikasi proses autentikasi token akses layan back-end bas website  servis umum single sign-on terap manfaat library platform terap temu temu hubung proses logout proses logout platform desktop mobile gagal hapus sesi keycloak fungsi manajemen token platform desktop mobile selesai temu fungsi kembang tahap uji mandiri sesuai implementasi sso siswa gki sso autentikasi otorisasi keycloak sedia identitas akses manajemen sso keycloak prototype restful api
78,78,PERBANDINGAN PENGGUNAAN METODE SIMPLE MULTI ATTRIBUTE RATING TECHNIQUE DENGAN SIMPLE ADDITIVE WEIGHTING DALAM PEMILIHAN KULINER DI YOGYAKARTA,71150142,"Kecerdasan Buatan, Teknik Informatika, Simple Multi Atribut Rating Technique, Simple Additive Weighting.",banding simple multi atribut rating technique simple additive weighting pilih kuliner yogyakarta kembang kuliner kota yogyakarta makan kategori makan acu cari makan mudah proses cari makan buah cari makan upa rangking dasar kategori cari cari makan cepat akurat aplikasi kembang substansi  analisa komparatif simple additive weighting saw simple multi atribut rating technique smart jalan operasi android kriteria rekomendasi harga menu jarak rumah makan kapasitas unjung variasi menu sedia wi-fi lahan parkir aplikasi simpul data rumah makan coba akurat dasar bangun upa rangking rekomendasi rumah makan database website  service dasar uji akurat rata rata akurat 2 akurat tingakat akurat smart saw cerdas teknik informatika simple multi atribut rating technique simple additive weighting
79,79,VISUALISASI DATA STATISTIK JEMAAT GKJ KLASIS KARTASURA,71170213,"Data jemaat, Statistika jemaat, KPI,  Dashboard visualisasi",visualisasi data statistik jemaat gkj klasis kartasura data lapor statistika jemaat gereja klasis simpan gereja data pisah gereja data lapor statistika jemaat simpan bentuk sheet mudah klasis gereja baca analisa data statistic jemaat visualisasi dashboard visualisasi dasar data mart jemaat dashboard sesuai key performance indicator kpi milik gereja kpi proses wawancara gereja muka dashboard bangun javascript evaluasi user experience kuesioner user experience questionnaire ueq excellent skala skala excellent tinggi 2 efisiensi 2 data jemaat statistika jemaat kpi dashboard visualisasi
80,80,IMPLEMENTASI SIMPLE KNOWLEDGE ORGANIZATION SYSTEM DALAM MEMBANGUN WEBSITE TESAURUS BAHASA INDONESIA,71160116,"Simple Knowledge Organization System, tesaurus",implementasi simple knowledge organization bangun website tesaurus bahasa indonesia tesaurus buku deskripsi sinonim umum bangun website tesaurus bahasa indonesia rancang mudah ajar mahasiswa masyarakat umum kamus online tesaurus data tesaurus representasi simple knowledge organization simpan bentuk resource description framework rdf simpan framework apache jena fuseki query sparql tampil data skos stemming tampil dasar tampil taksonomi relasi sesuai cari simple knowledge organization tesaurus
81,81,PERANCANGAN WEBSITE INFORMASI KAIN ULOS BATAK TOBA SEBAGAI UPAYA PELESTARIAN ULOS,71160096,"Goal-Directed design, Usability testing, Kain Ulos Batak Toba",ancang website kain ulos batak toba upaya lestari ulos user interface antarmuka tampil visual jembatan aplikasi antarmuka buah aplikasi tampil antarmuka terap website bangun mudah website iste bangun bangun paham lestari budaya lestari budaya kain ulos batak toba medan sumatera utara kain ulos ciri khas suku batak turun turun kembang tulis bangun buah website antarmuka bantu lestari kain ulos digital akses website bangun goal-directed design 6 tahap reserch modelling requirement framework definition refinement development support selesai 6 tahap website bangun uji usability testing usability scale sus usability testing 2 aspek task success time on task usability scale sebar kuesioner responden uji alami signifikan usabilitas website rata goal-directed design usability testing kain ulos batak toba
82,82,PENGEMBANGAN MOTIF BATIK BONSAI BENTUK CHOKKAN DENGAN LINDENMAYER SYSTEM,71150102,"Lindenmayer system, web, aplikasi, batik, bonsai",kembang motif batik bonsai bentuk chokkan lindenmayer batik salah waris budaya indonesia kenal negeri kain batik kenal motif agama milik indah motif manual makan waktu milik kerumit tinggi butuh buah mudah motif batik batik digital kembang batik fractal batik fractal batik motif rancang hitung matematika salah hitung matematis rancang bentuk fractal lindenmayer tulis motif batik inspirasi pohon bonsai jenis chokkan bas website  bangun javascript dasar teori l-system 3 input jenis pola ulang iterasi sudut gambar simpul lindenmayer terap pola desain input milik peran bentuk pola kombinasi pola input iterasi sudut buah bentuk pola desain batik lindenmayer website  aplikasi batik bonsai
83,83,IMPLEMENTASI SISTEM PEMANTAU JARAK JAUH DETAK JANTUNG PASIEN,71150006,"IoT, Denyut jantung, Sensor, Firebase",implementasi pantau jarak detak jantung pasien jantung organ vital tubuh manusia sehat jantung cermin kondisi sehat tubuh sakit kronis hubung jantung indonesia data tri sehat republik indonesia tahun estimasi 1 usia tahun tinggi usia tahun kunjung dokter atur sadar pasien pantau rutin sehat tangan sakit jantung lambat bangun buah pantau detak jantung pasien jarak bas internet of things iot komunikasi perangkat cloud storage firebase simpan data detak jantung pasien tangkap sensor ambil data detak jantung sensor pulse heart rate sensor green light hitung ubah volume darah buluh darah sensor pulse heart rate sensor milik rata - rata beda ambil denyut nadi manual 4 3 denyut menit cepat kirim data sensor firebase 1 detik akurasi alat iot denyut jantung sensor firebase
84,84,PENERAPAN DESAIN JARINGAN LORA BERBASIS APLIKASI IoT PADA SISTEM MONITORING AKTIVITAS PENGAWASAN GEDUNG,71160087,"Internet of Things, Penjadwalan satpam, LoRa, MQTT, QRCode, WiFi module, microcontroller, NodeMCU ESP8266, python, laravel, VueJS",terap desain jaring lora bas aplikasi iot monitoring aktivitas awas gedung universitas kristen duta wacana satpam tugas jaga lokasi sesuai jadwal satpam selesai jaga lokasi satpam kantor pusat lapor lokasi satpam titik efektif satpam bolak-balik kantor pusat lapor buah kembang monitoring aktivitas awas gedung bas aplikasi iot koneksi wi-fi sulit implementasi ukdw ukdw gedung andal koneksi wi-fi jangkau bas meter sulit kirim data kembang makan biaya tinggi daya tinggi titik jaga satpam jangkau koneksi wi-fi berangkat tulis kembang jaring lora terap jaring lora tulis kembang website  admin back-end script python capai terap desain jaring lora bas aplikasi iot monitoring aktivitas awas gedung evaluasi performance jaring manfaat efektivitas satpam jaga lokasi mudah supervisor satpam evaluasi aman ukdw halaman admin tampil lapor jaga satpam internet of things jadwal satpam lora mqtt qrcode wi-fi module mikrokontroler nodemcu python laravel vuejs
85,85,PEMODELAN OBJEK BUDAYA SASTRA INDONESIA BERBASIS SEMANTIC WEB,71150113,"semantic web, methontology, ontologi, sastra, Indonesia, endpoint, id.dbpedia.org, protégé",model objek budaya sastra indonesia bas semantic website  sastra wadah seni tampil indah bahasa tarik variasi penuh imajinasi jenis karya sastra indonesia prosa puisi drama jenis sastra milik periodisasi angkat objek budaya terap teknologi komunikasi tik tik bantu masyarakat cari objek budaya salah semantic website  manfaat semantic website  sastra indonesia representasi bentuk ontologi ontologi bangun metodologi methontology metodologi methontology 4 tahap spesifikasi knowledge acquisition konseptualisasi implementasi tahap spesifikasi ruang lingkup ontologi objek budaya tahap knowledge acquisition analisa teks informal ajar konsep utama buku tahap konseptualisasi ekstraksi terap n-triple subjek predikat objek tahap konseptual diagram t-box model objek tahap implementasi bangun ontologi objek budaya sastra indonesia bentuk owl aplikasi prot sastra indonesia bangun bahasa pemrograman javascript framework vue js pemrograman website  bas semantic website  hubung resource sastra indonesia resources id dbpedia org endpoint dbpedia indonesia lapor tahap spesifikasi knowledge acquisition konseptualisasi implementasi representasi sastra indonesia bas owl semantic website  semantic website  methontology ontologi sastra indonesia endpoint id dbpedia org prot
86,86,PEMBUATAN WEB SISTEM INFORMASI JEMAAT PADA GEREJA GKI IMANNUEL SERUI KOTA,71150059,"Sistem informasi, UCD, Black box, SUS", website jemaat gereja gki imannuel serui kota organisasi rancang tangan olah data organisasi upa giat organisasi komputerisasi mudah butuh administrasi layan jemaat gereja gki imannuel serui kota bas website  bantu administrasi gereja olah data gereja diakonia giat jemaat imanuael serui kota pendeta keluarga giat cari putar gereja mudah kualitas layan gereja gki imannuel serui kota mudah jemaat pimpin gereja mudah kelola user ucd design ucd fokus kunci optimal proses tulis jemaat gereja gki imannuel serui kota bas website  perhati interface mudah akses muda lansia dasar uji black box simpul fungsional sesuai kegunaanya uji puas usability scale sus rata persentase simpul gereja gki imannuel serui kota terima ucd black box sus
87,87,PEMBANGUNAN DATA WAREHOUSE DAN DASHBOARD UNTUK MENDUKUNG ANALISIS KRS DAN KHS MAHASISWA,71150088,"KRS & KHS, Goal-Directed design, performance metric, KPI, Dashboard",bangun data warehouse dashboard dukung  analisa krs khs mahasiswa data kait kuliah mahasiswa daftar milik data semester data kuliah upa kartu rencana studi krs data kuliah upa kartu studi khs data simpan rekap giat administrasi buah instansi guru tinggi rencana strategis lapor akreditasi buah institusi guru tinggi bantu kaprodi analisa data indikator dashboard media visualisasi data muka dashboard bangun goal-directed design tahap research wawancara kaprodi informatika pegawai dukung akademik staff ppa akademik uji user interface dashboard performance metric uji binary success responden pilih evaluasi user experience kuesioner user experience questionnaire ueq excellent skala daya tarik 1 stimulasi 1 baharu 1 good skala 1 efisiensi 1 krs khs goal-directed design performance metric kpi dashboard
88,88,SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN MAKANAN PADA APLIKASI PESAN MAKANAN ONLINE MENGGUNAKAN METODE AHP-TOPSIS,71150074,"Overchoice, Choice overload, AHP, TOPSIS, Android, Java, Perankingan",dukung putus pilih makan aplikasi pesan makan online ahp-topsis pangan salah butuh utama hidup manusia kembang zaman pangan inovasi olah mudah temu sedia jasa pesan makan delivery order mudah beli makan kerap muncul nama overchoice choice overload bingung mes makan menu makan sedia mood makan overchoice choice overload proses kognitif alami sulit ambil putus pilih tulis aplikasi bas android java programming language implementasi analytic hierarchy process ahp-topsis technique for order preference by similarity to ideal solution ahp-topsis pilih 3 menu makan bobot dasar kriteria menu makan bobot hitung output ranking makan menu pilih uji hitung hitung manual 3 responden ranking makan hitung ahp-topsis ahp-topsis overchoice choice overload ahp-topsis ahp-topsis android java perankingan
89,89,PERANCANGAN DASHBOARD DATA UMAT PAROKI SANTA MARIA ASSUMPTA KLATEN BERBASIS WEB,71150020,"Dashboard, user centered design, usability, website.",ancang dashboard data umat paroki santa maria assumpta klaten bas website  kembang proses teknologi bidang bawa dampak luas sektor hidup butuh cepat akurat bahan ambil putus dashboard tampil visual butuh capai gabung atur layer pantau kilas iring data umat tahun paroki pantau tampil data umat paroki efisien tulis rancang dashboard alat bantu monitoring data umat paroki import database paroki tabel rekapitulasi data tahun rancang desain dashboard uji usability  analisa data usability evaluasi data usability analisa task success usability metrics for effectiveness time on task usability metrics for efficiency usability scale sus usability metrics for satisfaction dasar uji responden dewan paroki 3 usability metrics simpul uji usability time on task rata 5 detik efficiency 0 1 goals sec uji usability task success rata sukses uji sus angka rata 4 dashboard terima acceptable grade rating excellent dasar simpul user ucd design sesuai rancang dashboard bantu cari olah data efektif efisien dashboard user ucd design usability website
90,90,ANALISIS PERBANDINGAN KONFERENSI VIDEO STUDI KASUS : JARINGAN LAB PRAKTIKUM INTERNET UNIVERSITAS KRISTEN DUTA WACANA,71160099,"Konferensi video, Free Conference call, Jitsi, Jumpa.id, Jitter, Packet loss, Delay, Throughput.", analisa banding konferensi video studi jaring lab praktikum internet universitas kristen duta wacana pandemi covid guru ajar murid murid alih ajar tatap muka digital tatap muka digital butuh aplikasi cocok temu online konferensi video aplikasi konferensi video kenal zoom google meet website ex aplikasi anggap layak aplikasi konferensi video kenal pilih aplikasi populer zoom meet pilih aplikasi freeconferencecall com jitsi meet jumpa id aplikasi lokal indonesia aplikasi jaring aplikasi konferensi video liput ancang implementasi ambil data  analisa data parameter jaring liput jitter packet loss delay throughput uji 6 skenario beda temu softperfect connection emulator wireshark alat uji ambil data paket port aplikasi limit cepat jaring kualitas delay uji pikir aplikasi alternative hitung kualitas jaring uji lab praktikum internet universitas kristen duta wacana konferensi video free conference call jitsi jumpa id jitter packet loss delay throughput
91,91,IMPLEMENTASI INTERNET OF THINGS (IOT) PADA KOTAK OBAT PINTAR UNTUK LANSIA,71160001,"Lansia, Internet of Things, Smartphone, Aplikasi Android, System Usability Scale",implementasi internet of things iot kotak obat pintar lansia minum konsumsi obat waktu sakit obat resep dokter apoteker milik atur contoh obat konsumsi 3 2 1 atur makan makan pasien rawat rumah sakit awas suster dokter awas rumah sakit pasien rawat jalan pasien lansia hadir teknologi iot mahal kotak obat pintar pasien rawat jalan konsumsi obat implementasi teknologi iot aplikasi android atur kotak obat kotak obat pasien konsumsi obat modul alarm kotak obat pintar usability scale sus ukur aplikasi kotak obat pintar uji data uji uji kotak obat pintar data case kotak obat pintar jalan mesti uji aplikasi responden skor rata sus skor aplikasi terima grade scale nila good lansia internet of things smartphone aplikasi android usability scale
