,judul,nim,kata_kunci,mix_feature
44,ANALISIS SENTIMEN PADA KOMENTAR VIDEO ULASAN SMARTPHONE DI YOUTUBE,71150046,"Analisis Sentimen, Sistem Klasifikasi, Support Vector Machine,
Credibility Adjusted Term Frequency", analisa sentimen komentar video ulas smartphone youtube youtube salah media sosial milik daya tarik tinggi masyarakat youtube milik konten agama teliti menitikberatkan  analisa sentimen komentar video ulas smartphone youtube channel youtube sumber data sobat hape droidlime channel ulas smartphone indonesia verifikasi youtube sistem klasifikasi sentimen bangun bantu sentimen masyarakat video ulas smartphone teliti coba terap metode bobot term CATF adjusted term frequency catf model klasifikasi support svm machine svm kernel linear rbf proses uji teliti banding performance sistem klasifikasi dataset data komentar imbang kelas imbang teliti banding performance kernel linear rbf parameter evaluasi teliti akurasi presisi confusion matrix catf metode bobot model klasifikasi svm klasifikasi sentimen komentar ulas smartphone youtube sistem hasil nilai akurasi rata tinggi 2 data imbang 8 data imbang kernel linear hasil sistem klasifikasi optimal akurasi tinggi sistem klasifikasi imbang raih kernel rbf  analisa sentimen sistem klasifikasi support svm machine CATF adjusted term frequency
45,PENGEMBANGAN APLIKASI PENINJAU DATA JEMAAT DENGAN PERTIMBANGAN KEAMANAN PADA BASIS DATA GEREJA BERBASIS ANDROID,71150058,"DDNS, TLS, SSL, gereja, web service, android",kembang aplikasi tinjau data jemaat timbang aman basis data gereja bas android data data jemaat proses sulit data jemaat milik bentuk agama catat aplikasi milik akses mudah akses mandiri tingkat cepat akurasi catat batas biaya tenaga sedia akses sewa vps ddns solusi informasi sifat sensitif data komunikasi aman terap tls ssl teliti hasil implementasi sistem penuh butuh mitra gki ddns terap konfigurasi sedia layan ddns noip konfigurasi modem akses sedia akses arah website site  service siswaws sedia akses basis data lokal komputer gereja siswaws bangun framework spring aplikasi akses upa aplikasi bas android siswajr bangun antarmuka website site  service sistem bangun selesai rumus manfaat ddns website site  service hasil akses akses buah aplikasi android siswajr aman data sedia autentikasi tls ssl internal ca penuh butuh fungsi uji uji mandiri divalidasi gki teliti tekan user experience jemaat gki milik usia etnis agama uji aman kembang teliti ddns tls ssl gereja website site  service android
46,SISTEM PAKAR UNTUK DETEKSI TIPE DIET IDEAL BERBASIS WEB DENGAN METODE FORWARD CHAINING,71160090,"forward chaining, sistem pakar, saran diet, komputer",sistem pakar deteksi tipe diet ideal bas website site  metode forward chaining gizi serius aplikasi situs sedia hitung gizi konsultasi diet dasar data karakteristik tubuh gejala alami teliti bangun sistem pakar mengakomodir hitung gizi gejala alami metode forward chaining saran diet certainty factor diagnosis status sehat sistem kumpul data hasil saran diet kumpul nilai percaya nilai ketidakpercayaan pakar terap metode forward chaining certainty factor teliti pasu basis mesin inferensi metode forward chaining metode runut maju hasil dasar fakta metode certainty factor metode uji tingkat gejala hasil proses saran diet gejala diagnosis status gizi metode forward chaining certainty factor data uji basis pakar hasil teliti saran diet diagnosa gizi sesuai pakar forward chaining sistem pakar saran diet komputer
47,REPRESENTASI PENGETAHUAN UNTUK PERMAINAN TRADISIONAL INDONESIA BERBASIS SEMANTIC WEB,71150076,"Permainan Tradisional Indonesia, Semantic Web, WSDM",representasi main tradisional indonesia bas semantic website site  main tradisional makna main pegang teguh norma adat turun puas senang si informasi proses cari main tradisional indonesia era sulit sistem representasi main tradisional indonesia salah semantic website site  sistem bantu proses cari informasi bas website site  teliti kembang semantic website site  website site  semantics design method wsdm 5 tahap mission statement specification audience modeling conceptual modeling implementasi design implementasi tahap ekstraksi conceptual modeling literatur teliti ulang kalimat kandung subjek predikat objek subjek objek definisi class bentuk t-box terjemah description logic tahap implementasi design desain website site  mudah proses cari main tradisional indonesia hasil simpul teliti metode wsdm website site  semantic design method terap tampil main tradisional indonesia pegetahuan main tradisional indonesia terap semantic website site  bas owl main tradisional indonesia semantic website site  wsdm
48,"IDENTIFIKASI SIDIK JARI MENGGUNAKAN HASIL EKSTRAKSI
DARI METODE WAVELET HAAR",71150067,"Wavelet haar, Euclidean Distance, ekstraksi fitur, sidik jari",identifikasi sidik jari hasil ekstraksi metode wavelet haar makalah fitur-fitur energi wavelet haar identifikasi sidik jari utama teliti uji tingkat akurat identifikasi sidik jari fitur-fitur energi hitung euclidean distance sampel teliti uji citra sidik jari ambil prapemrosesan gambar identifkasi sidik jari tama citra dipra-proses hitung fitur-fitur energi wavelet haarnya fitur-fitur energi wavelet haar hitung euclidean distance menhitung tingkat citra sidik jari hasil teliti sidik jari citra latih milik tingkat akurasi level 1 level 2 level 3 level 4 level 5 level 6 hasil citra latih level 1 level 2 level 3 level 4 level 5 level 6 hasil citra latih level 1 level 2 level 3 level 4 level 5 level 6 wavelet haar euclidean distance ekstraksi fitur-fitur sidik jari
49,"PEMBANGUNAN MODEL PENGETAHUAN KERAJINAN
TRADISIONAL INDONESIA DENGAN PENDEKATAN ONTO-
KNOWLEDGE",71150038,"Semantic web, On-To-Knowledge, kerajinan tradisional Indonesia",bangun model rajin tradisional indonesia onto- knowledge rajin tradisional karya alat sederhana bahan bahan alami rajin tradisional gerabah batik rajin kayu anyam rajin perak kain tenun jenis rajin tradisional banding informasi sedia rajin tradisional indonesia kenal dokumentasi rajin tradisional masyarakat indonesia salah dokumentasi rajin tradisional indonesia semantic website site  semantic website site  kelola kumpul data model dinamis buka akses informasi rajin tradisional indonesia representasi bentuk owl teliti tulis metodologi on-to-knowledge bangun ontologi rajin tradisional indonesia metodologi on-to-knowledge 5 tahap tulis 4 tahap tahap feasibility study kick off refinement evaluation tahap feasibility study studi layak sistem bangun identifikasi sistem use case tahap kick-off definisi butuh ontologi rajin tradisional indonesia sumber tahap refinement model ontologi rajin tradisional indonesia tahap ekstraksi manual description logic t-box evaluasi tahap uji reasoner hermit aplikasi prot dl query completeness check semantic website site  on-to-knowledge rajin tradisional indonesia
50,"PERANCANGAN ANTARMUKA ""PHOTOGRAPH TREATMENT"" UNTUK PENDERITA DEMENSIA ALZHEIMER PADA LANSIA",71160129,"Dementia, Mild Dementia, Photograph Treatment, effectiveness, efficiacy and satisfaction rate, User Centered Design, MMSE",ancang antarmuka photograph treatment derita demensia alzheimer lansia demensia turun fungsi kognitif otak pengaruh lansia utama demensia sakit alzheimer -70 salah karakteristik demensia alzheimer ringan ganggu kognitif aphasia fungsi bahasa turun agnosia sulit nali identifikasi objek anomie sulit temu nama objek foto terapi derita demensia alzheimer tingkat fungsi kognitif otak teknologi cegah lansia turun kognitif tingkat fungsi tingkat kualitas hidup 3 utama sulit lansia ponsel cognition memori fisik gera motorik persepsi metode user ucd design aplikasi photograph treatment mudah lansia ukur dasar efektivitas efisiensi puas solusi teliti temu aplikasi bas tombol aplikasi photograph treatment dementia mild dementia photograph treatment effectiveness efficiency and satisfaction rate user ucd design mmse
51,ANALYSIS PROFILE SISWA SMA PANGUDILUHUR SANTO YOHANES KETAPANG KALIMANTAN BARAT MENGGUNAKAN DASHBOARD,71150092,"Dashboard, Key performance indicator, Task success, System usability scale, Success rate",analysis profile siswa sma pangudiluhur santo yohanes ketapang kalimantan barat dashboard program studi informatika universitas kristen duta wacana tuntut jalan tri darma jamin mutu didik tinggi cantum atur perintah no tahun standar didik nasional program studi informatika universitas kristen duta wacana alat bantu evaluasi memonitoring menjamin capai ukur mutu dasar teliti mebangun dashboard sarana evaluasi monitoring kembang program studi informatika universitas kristen duta wacana dashboard bangun dasar data profile siswa key performance indicator sebagia alat ukur tahap teliti teliti kumpul data studi literature wawancara implementasi dashboard bentuk website site  uji task success system usability scale  analisa hasil uji hasil evaluasi  analisa aplikasi dashboard profile siswa bangun terima mudah pegawai tata usaha dashboard key performance indicator task success system usability scale success rate
52,ANALISIS DAN PENERAPAN SISTEM INFORMASI PELAYANAN PUSKESMAS SAMBAS BERBASIS WEB,71150043,"Rapid Application Development, Technology Acceptance Model , System Usability Scale", analisa terap sistem informasi layan puskesmas sambas bas website site  puskesmas instansi sehat tingkat laksana upaya sehat wilayah puskesmas proses layan puskesmas manual dukung teliti alami proses layan butuh waktu dasar teliti bangun buah sistem informasi layan bantu tingkat pegawai puskesmas layan pasien teliti puskesmas sambas kalimantan barat teliti metode rapid application development rad metode milik untung proses kembang sistem cepat metode libat proses sistem hasil sistem sesuai butuh sistem evaluasi skenario uji technology acceptance model tam ukur tingkat terima teknologi system usability scale sus ukur sistem uji sesuai teliti metode rapid application development rad metode rad metode libat sistem sistem sesuai butuh hasil evaluasi hasil hasil waktu skenario uji pasien task nilai persentase pegawai task persentase pegawai administrasi task nilai persentase hasil uji terima 5 hipotesis aju hasil hipotesis terima dasar hasil simpul mudah sistem informasi layan tingkat efektivitas pegawai tingkat minat sikap positif sistem informasi layan puskesmas sambas sikap positif sistem tingkat minat pegawai sistem informasi layan tunjang giat pegawai puskesmas bidang layan hasil uji usability metode system usability scale skor sus dasar skala sus sistem grade scale nilai adjective rating nila good acceptability ranges terima acceptable rapid application development technology acceptance model system usability scale
53,IMPLEMENTASI FRAMEWORK LARAVEL PADA SISTEM INFORMASI PENGELOLAAN BANK SAMPAH GMA KLATEN BERBASIS WEBSITE,71160078,"Bank Sampah, Laravel, Android",implementasi framework laravel sistem informasi kelola bank sampah gma klaten bas website site site gereja maria assumpta klaten milik bank sampah kelola warga jemaat proses olah data manual microsoft excel tulis putus rancang bangun buah sistem informasi kelola bank sampah bas website site site halaman request jemput sampah aplikasi gematen framework flutter milik gereja metode tulis analisa butuh wawancara observasi lapang ancang desain implementasi sesuai butuh uji website site site halaman request jemput sampah aplikasi android gematen completion rate time based efficiency sus usability website site site halaman request jemput sampah aplikasi android gematen sesuai butuh bangun sistem website site  bank sampah halaman request jemput sampah aplikasi android gematen milik effectiveness efficiency responden sistem website site  bank sampah halaman request jemput sampah aplikasi android gematen task efficiency expert user hasil uji system usability scale sistem grade bank sampah laravel android
54,REPRESENTASI PENGETAHUAN BERBASIS WEB ONTOLOGY LANGUAGE (OWL) UNTUK OBJEK PAKAIAN ADAT INDONESIA,71150007,"Q Science > QA Mathematics > QA76 Computer software
T Technology > T Technology (General)",representasi bas website site  ontologi  language owl objek pakai adat indonesia pakai adat salah waris budaya unik pakai adat buah identitas upa pakai beda daerah salah terap sebar informasi objek budaya pakai adat kerangka standar semantic website site  standar semantic website site  kelola kumpul data struktur data model dinamis bangun struktur data model representasi pakai adat bas semantic website site  butuh metodologi bantu model kembang infrastruktur informasi objek pakai adat teliti metode methontology teliti metode ethontology langkah spesifikasi knowledge acquisition konseptualisasi implementasi metode methontology bantu hasil model objek pakai adat terjemah standar website site  ontologi  language owl representasi bentuk website site  tahap spesifikasi batas ruang lingkup ontologi tahap knowledge acquisition tahap cari ajar konsep utama buku tahap konseptualisasi terap description logic model bentuk t-box tahap implementasi tahap bangun ontologi pakai adat aplikasi prot implementasi bentuk website site  framework vue js sistem hubung resource pakai adat indonesia resource id dbpedia org teliti lapor hasil tahap spesifikasi knowledge acquisition science qa mathematics computer software technology technology general
55,PEMBANGUNAN SISTEM TANYA JAWAB DENGAN METODE WEIGHTED SUM UNTUK REGISTRASI PENERIMAAN MAHASISWA UKDW,71160091,"Sistem tanya jawab, Weighted sum model",bangun sistem metode weighted sum registrasi terima mahasiswa ukdw admisi universitas kristen duta wacana tugas layan putar registrasi mahasiswa informasi kait informasi putar registrasi terima mahasiswa layan karyawan admisi layan sedia cenderung repetitif teliti pecah bangun buah sistem qa metode wsm model wsm bangun sistem qa teliti ambil data upa daftar daftar ambil keyword hitung term frequency tf daftar pasuk tahap preprocessing tahap preprocessing case-folding hapus karakter koma titik tokenisasi stopword removal lemmatization seleksi keyword case-folding tahap kapital karakter tokenisasi proses pecah teks unit linguistik stopword removal hilang umum temu teks tahap lemmatization ubah imbuh bentuk dasar seleksi keyword nyaring kandung kunci definisi bobot konstan rumus frekuensi relatif bobot relatif inverse-doncument frequency idf hitung weighted sum ws uji sistem skenario skenario uji akurasi sistem terima milik kunci data latih skenario uji akurasi sistem milik komposisi urut tulis sinonim tata bahasa beda tingkat akurasi skenario skenario wsm faktor nilai wsm sistem weighted sum model
56,KLASIFIKASI 4 BAHASA SERUMPUN MENGGUNAKAN SUPPORT VECTOR MACHINE,71150010,"Klasifikasi Bahasa, Support Vector Machine, Supervised Learning, Bahasa Indonesia, Bahasa Jawa, Bahasa Minang, Bahasa Sunda",klasifikasi 4 bahasa serum support svm machine internet butuh era digital bantu selesai internet dunia interaksi tukar informasi komunikasi bahasa media digital mudah kembang aplikasi pemrosesan bahasa alami pemrosesan bahasa alami sistem paham bahasa alami manusia sistem proses hasil informasi pemrosesan bahasa alami sistem cerdas proses otomatis pemrosesan bahasa alami klasifikasi bahasa klasifikasi bahasa butuh utama nali bahasa daerah bahasa daerah indonesia under resource language sistem klasifikasi bahasa daerah bahasa daerah nali daerah bahasa salah metode machine learnings terap klasifikasi support svm machine sistem klasifikasi 4 bahasa serum klasifikasi bahasa indonesia bahasa jawa bahasa mang bahasa sunda support svm machine kembang bukti metode klasifikasi nilai akurasi capai support svm machine klasifikasi multi-bahasa klasifikasi bahasa support svm machine supervised learning bahasa indonesia bahasa jawa bahasa mang bahasa sunda
57,PENERAPAN PERMODELAN TOPIK UNTUK PENCARIAN DOKUMEN TERMIRIP,71170141,"TFIDF, Pemodelan Topik, Pencarian Dokumen, Kolokasi, Lexikat",terap model topik cari dokumen buah dokumen sulit proses komputer fitur-fitur dimensi data lambat proses shahmirzadi lugowski younge salah model topik model topik temu pola dokumen fitur-fitur efektif representasi dokumen salah platform sedia produk model topik lexikat teliti fokus topik hasil lexikat fitur-fitur cari dokumen term bobot topik hasil lexikat fitur-fitur fitur-fitur dokumen ukur fitur-fitur dokumen cosine similarity tulis dataset eksperimen algoritma lexikat ubah parameter bobot model topik hasil model topik bobot tf-idf hasil skor topik query 1 f-measure 0 break-even point 0 bobot tf hasil skor topik f-measure 0 break-even point 0 cari dokumen query model topik lexikat hasil waktu ukur dokumen -90 tf-idf model topik cari dokumen kolokasi lexikat
58,KLASIFIKASI SENTIMEN KOMENTAR INSTAGRAM BERBAHASA INDONESIA MENGGUNAKAN SUPPORT VECTOR MACHINE,71150017,"Support Vector Machine, Analisis Sentimen, k-fold cross-validation,
tf-idf, stemmer, n-gram",klasifikasi sentimen komentar instagram bahasa indonesia support svm machine media sosial salah butuh wajib kalang masyarakat salah media sosial popular instagram manfaat instagram paham etika sosial dunia maya salah rugi  analisa sentimen nyaring komentar media sosial komentar sifat negatif positif netral  analisa sentimen sentimen akun  analisa sentimen metode klasifikasi tunjang teliti tulis sistem terap  analisa sentimen komentar instagram metode klasifikasi support svm machine svm tulis teliti akurasi metode svm klasifikasi sentimen tulis teliti faktor pengaruh tingkat akurasi faktor teliti upa k-fold kernel stemmer preprocessing dasar hasil teliti tulis rata akurasi fitur-fitur kombinasi unigram bigram uji simpul kernel polynomial sesuai klasifikasi fitur-fitur tf-idf stemmer pengaruh hasil support svm machine  analisa sentimen k-fold cross-validation tf-idf stemmer n-gram
59,APLIKASI OTOMATIS UJI DESAIN ANTARMUKA DALAM STUDI KASUS ANTARMUKA CHAT ROOM PADA PONSEL,71170145,"Desain antarmuka, Chat room, Flutter, System Usability Scale",aplikasi otomatis uji desain antarmuka studi antarmuka chat room ponsel kembang teknologi aplikasi manfaat hidup komunikasi hibur butuh aplikasi faktor pengaruh aplikasi salah desain antarmuka aplikasi mudah paham teliti teliti desain antarmuka desain mudah halang paham bidang desain pemrograman teliti bangun buah aplikasi otomatis uji desain antarmuka studi chat room mambantu proses uji desain antarmuka awam desain catat hasil uji waktu langkah error proses  analisa desain aplikasi otomatis uji desain antarmuka implementasi platform android bangun alat android studio bahasa pemrograman flutter dart teliti aplikasi bangun sesuai butuh nilai kuesioner system usability scale sus ambil dosen fakultas teknologi informasi universitas kristen duta wacana teliti usability user interface user experience hasil teliti aplikasi bantu proses uji desain antarmuka chat room catat langkah durasi error status hasil visualisasi desain antarmuka sesuai butuh dasar wawancara uji aplikasi bukti hasil hitung sus aplikasi otomatis uji desain antarmuka aplikasi jalan mesti desain antarmuka chat room flutter system usability scale
60,PEMBUATAN MIDDLEWARE UNTUK MENGHUBUNGKAN APLIKASI CHATTING TELEGRAM DENGAN APLIKASI CHATTING MODIFIKASI,71160066,"Chat bridge, Middleware, Telegram bot, Instant messenger",middleware hubung aplikasi chatting telegram aplikasi chatting modifikasi muncul aplikasi chatting tukar pesan cipta manusia komunikasi pilih aplikasi chatting sedia timbul aplikasi chatting sebar batas giat kirim pesan aplikasi chatting faktor salah alas buah aplikasi chatting mati aplikasi chatting jarang tinggal teliti bangun middleware hubung salah aplikasi chatting popular telegram aplikasi chatting modifikasi middleware manfaat metode website site hook api giat tukar pesan telegram bot implementasi sistem bawa pesan koneksi akun beda sistem middleware milik database simpan data kontak status teman middleware hasil bangun teliti sesuai harap uji ukur performance middleware tugas salur pesan aplikasi chatting modifikasi sederhana tulis uji middleware bangun hasil uji tipe pesa teks gambar data pengaruh performance nilai miring slope grafik trend linear 0 pesan file ukur pengaruh performance nilai miring pesan kirim telegram 2 pesan kirim telegram chat bridge middleware telegram bot instant messenger
61,"PERANCANGAN DASHBOARD UNTUK WEBSITE MASHUP
SOSIAL MEDIA MENGGUNAKAN METODE GOAL DIRECTED DESIGN",71150109,"Goal-Directed Design, dashboard, mashup.",ancang dashboard website site site mashup sosial media metode goal directed design salah kembang teknologi internet lahir komunikasi media sosial istilah media sosial susun media sosial media alat komunikasi sosial sosial individu aksi kontribusi masyarakat media perangkat lunak sosial makna produk proses sosial erti simpul media sosial alat komunikasi interaksi hidup sosial media sosial populer indonesia youtube whatsapp facebook messenger we chat instagram fokus teliti aplikasi jejaring sosial media facebook instagram aplikasi populer indonesia mashup istilah bentuk portal mashup situs aplikasi website site  kombinasi konten teliti rancang dashboard mashup sosial media metode goal directed design dasar uji performance matrics evaluasi sistem hasil aspek task succes hasil aspek time on task combining metrics aspek hasil hasil aspek antarmuka sistem puas hitung dasar system usability scale sus hasil rata skor adjective rating good sistem acceptable goal-directed design dashboard mashup
62,STUDI KOMPARASI PERFORMA NGINX DAN HAPROXY SEBAGAI LOAD BALANCER DI CLOUD MENGGUNAKAN TEKNOLOGI KONTAINER,71160004,"Load balancer, Cloud Computing, Docker, Container, Load Testing",studi komparasi performance nginx haproxy load balancer cloud teknologi kontainer high availability scalability server milik sektor industri salah konsep pakai teknologi horizontal scaling horizontal scaling capai load balancer teknologi adaptive teknologi kontainerisasi teknologi pakai load balancer teliti banding performance nginx haproxy load balancer sisi response time error rate jalan docker virtual machine aws gcp banding spesifikasi virtual machine hasil teliti dasar konfigurasi tulis aws tangan beban 8 persen gcp hasil teliti simpul sisi response time umum nginx performance banding haproxy load balancer jalan vm spesifikasi haproxy milik error rate stabil banding nginx load balancer cloud computing docker container load testing
63,REPRESENTASI PENGETAHUAN UNTUK OBJEK MAKANAN DAN MINUMAN TRADISIONAL BERBASIS WEB ONTOLOGY LANGUAGE (OWL),71150062,"Semantic web, On-To-Knowledge, makanan, minuman",representasi objek makan minum tradisional bas website site  ontologi  language owl makan minum tradisional indonesia waris budaya milik dokumentasi teliti dokumentasi resep data makan tradisional semantic website site  semantic website site  kerangka aplikasi manipulasi website site site semantic website site  mudah hubung makan minum tradisional representasi bentuk owl website site  ontologi  language bangun ontologi  metodologi methontology cyc on-to-knowledge wsdm teliti tulis metodologi on-to-knowledge bangun ontologi makan minum tradisional metodologi on-to-knowledge tahap feasibility study kick-off refinement evaluation maintenance tulis tahap feasibility study kick-off refinement evaluation tahap feasibility study temu makan minum tradisional dokumentasi nama hilang lapar hilang dahaga tahap kick-off rancang description logic dasar bangun ontologi  makan minum tradisional ancang t-box tahap refinement ekstraksi bangun ontologi  ontologi  makan minum tradisional evaluasi reasoner hermit hasil ontologi  konsisten uji description logic query ukur akurasi ontologi  hasil uji ontologi  bangun milik tingkat akurasi konsisten ontologi  bangun langkah masak literal sulit uji semantic website site  on-to-knowledge makan minum
64,ANALISIS FAKTOR OPTIMASI UNTUK DATA WAREHOUSE DENGAN DATA TABUNGAN PADA BANK XYZ,71150012,"basis data, data warehouse, optimasi, big data", analisa faktor optimasi data warehouse data tabung bank xyz kembang proses teknologi informasi manfaat usaha tingkat bisnis saji data integrasi konsisten data warehouse ilmu tunjang proses  analisa usaha sedia data integrasi sumber basis data iring kompleksitas data usaha media komputer simpan data resource tahun pemprosesan data media simpan upa basis data optimal proses  analisa usaha jalan cepat efisien teliti tulis bangun data warehouse tabel kondisi mapping data tabel optimasi 7 kondisi beda kombinasi partisi bucketing kompresi analisa performance tabel query  analisa sederhana performance analisa teliti segi waktu jalan query ruang simpan tabel dasar uji teliti 3 query hasil simpul kompresi bucketing cepat rata jalan query kompresi data pengaruh rata ukur ruang simpan data 8 banding tabel kompresi kompresi lambat rata jalan waktu query lipat basis data data warehouse optimasi big data
65,PENERAPAN SISTEM PENGELOLAAN WORKFLOW UNTUK MENDUKUNG SURAT MENYURAT DI SINODE GKJ,71160002,"Alur kerja, Surat masuk, Laravel",terap sistem kelola workflow dukung surat surat sinode gkj kelola surat sinode gkj manual faktor proses surat kait tugas wenang mendesposisikan surat tugas kantor faktor pemrosesan surat hambat tulis putus bangun sistem kelola workflow bantu surat surat sinode gkj sistem bantu tangan proses kelola surat registrasi desposisi arsip surat metode tulis teliti wawancara butuh rancang workflow pemrosesan surat rancang restful sistem dasar workflow rancang rancang sistem basis data antarmuka sistem kembang restful bas website site  rancang framework laravel uji api sistem uji workflow bangun sistem kelola workflow bantu surat surat sinode gkj dasar uji api uji hasil sesuai harap uji workflow uji hasil sesuai harap alur surat laravel
66,IDENTIFIKASI ARSITEKTUR INFORMASI SITUS WEB UNIVERSITAS,71150153,"arsitektur informasi, sistem organisasi, sistem pelabelan, sistem navigasi, dan situs universitas.",identifikasi arsitektur informasi situs website site  universitas situs user informasi cepat situs butuh waktu mendapatka informasi user situs universitas salah contoh user ajar calon mahasiswa cari informasi kait universitas akses situs universitas peran situs universitas mudah user informasi cepat situs universitas sulit user informasi salah user sulit temu informasi ketidaklengkapan arsitektur informasi situs universitas arsitektur informasi buah situs sistem organisasi sistem label sistem navigasi sistem cari rosenfeld morville arango teliti tulis identifikasi arsitektur informasi sistem organisasi sistem label sistem navigasi objek teliti upa situs universitas negeri negeri peringkat dasar situs www website site ometrics info hasil identifikasi arsitektur informasi puluh situs universitas susun bentuk tabel informasi tabel tulis  analisa deskriptif hasil banding elemen arsitektur informasi puluh situs universitas  analisa puluh situs universitas tulis hasil simpul skema organisasi ambigitious-topical tujuh puluh situs universitas struktur organisasi hierarchy-strict situs universitas iconic label facebook twitter situs universitas textual label upa prosedur terima mahasiswa reputasi akademik jurus program peta lokasi contact detail pakai situs universitas navigasi situs universitas navigasi global cari arsitektur informasi sistem organisasi sistem label sistem navigasi situs universitas
67,PERANCANGAN ANTARMUKA APLIKASI KIOSK UNTUK INFORMASI BANK X,71160011,"Aplikasi Web, Humanoid Robot, UCD, Task scenario, Bank X",ancang antarmuka aplikasi kiosk informasi bank analisa user interface humanoid robot promosi produk bank bank promosi produk nasabah tarik buah aplikasi website site  tampil tablet pasang dada humanoid robot humanoid robot interaksi nasabah bicara sesuai fitur-fitur pilih nasabah milik alam interaksi manusia aplikasi website site  rancang metode ucd user ucd design fitur-fitur sesuai butuh nasabah bank humanoid robot letak cabang digital bank aplikasi website site  isi informasi transaksi cabang digital bank promo-promo fitur-fitur hibur aplikasi website site  uji task scenario ueq parameter tingkat nyaman aplikasi website site  hasil uji bilang nilai excellent uji ueq tulis harap teliti sempurna fitur-fitur aplikasi website site  humanoid robot ucd task scenario bank
68,PEMBANGUNAN DASHBOARD PENJUALAN TUNAI PADA BISNIS RITEL,71170229,"Penjualan Tunai, Data Mart, KPI, Dashboard",bangun dashboard jual tunai bisnis ritel data transaksi manifestasi proses jual tunai bisnis ritel data transaksi simpan basis data pisah toko milik usaha bisnis ritel data transaksi simpan rekap lapor bentuk sheet teliti mudah usaha bisnis ritel baca analisa data jual tunai visualisasi dashboard visualisasi dashboard dasar data mart jual tunai bangun data mart sesuai key performance indicator kpi milik usaha kpi proses wawancara usaha data mart membersikan olah data transaksional toko milik usaha data historis data historis bangun dashboard muka dashboard bangun bahasa pemrograman python framework plotly dash evaluasi user experience kuesioner user experience questionnaire ueq hasil nilai excellent skala nilai skala nilai excellent tinggi daya tarik 2 2 susul skala nilai excellent 2 efisiensi 2 2 stimulasi 2 jual tunai data mart kpi dashboard
69,EVALUASI DAN PERANCANGAN ULANG TAMPILAN ANTARMUKA APLIKASI SEHATQ TERHADAP LANSIA,71150128,"Lansia, Usability Testing, ISO 9241-11, UCD (User Centered Design), SUS (System Usability Testing)",evaluasi ancang ulang tampil antarmuka aplikasi sehatq lansia teliti fokus rancang desain ulang antarmuka aplikasi sehatq lansia umur tahun teliti bangun ulang antarmuka aplikasi sehatq user friendly lansia objek teliti antarmuka aplikasi sehatq 0 aplikasi temu salah desain antarmuka sulit lansia teliti teliti standar iso 9241-11 usability testing iso 9241-11 evaluasi kualitas hitung effectiveness efficiency satisfaction teliti metode user ucd design ucd butuh lansia antarmuka aplikasi teliti sasar ubah desain antarmuka aplikasi sehatq teliti lansia jalan aplikasi ubah antarmuka 1 layout grid menu utama tampil fitur-fitur menu utama 2 warna kontras background elemen antarmuka 3 font rentang ukur 4 icon ukur hdpi hasil usability testing hasil desain ulang temu tingkat nilai persentase efektivitas responden tingkat efisiensi puas tingkat simpul hasil desain ulang antarmuka aplikasi sehatq terima lansia lansia usability testing iso 9241-11 ucd user ucd design sus system usability testing
70,IMPLEMENTASI ALGORITMA BELLMAN-FORD UNTUK PENCARIAN JALUR TERPENDEK MENUJU RUMAH SAKIT DI KOTA YOGYA BERBASIS ANDROID,71150029,"Bellman-Ford, Android, pencarian jalur terpendek",implementasi algoritma bellman-ford cari jalur pendek rumah sakit kota yogya bas android kota yogyakarta kota ajar kota wisata wisatawan ajar kota yogyakarta ajar libur lokasi rumah sakit kota yogyakarta teliti aplikasi cari jalur pendek rumah sakit algoritma bellman-ford bas android algoritma bellman-ford salah algoritma cari jalur pendek proses tulis ambil data upa koordinat jalan koordinat rumah sakit graf graf tulis algoritma bellman-ford cari jalur pendek hasil cari jalur pendek banding hasil cari google maps uji cari jalur pendek hasil algoritma bellman-ford jalur pendek google maps rata jarak banding rata jarak google maps uji temu verteks edge data pengaruh proses algoritma cari jalur pendek algoritma bellman-ford ecek verteks edge bellman-ford android cari jalur pendek
71,PERBANDINGAN PENGGUNAAN METODE DEMPSTER SHAFER DENGAN CERTAINTY FACTOR PADA KASUS DIAGNOSA PENYAKIT KELINCI HIAS,71150144,"dempster shafer, forward chaining, certainty factor, rule-based system.",banding metode dempster shafer certainty factor diagnosa sakit kelinci hias sistem pakar buah sistem usaha adopsi pakar buah sistem metode bangun sistem pakar contoh metode dempster shafer metode certainty factor teliti fokus banding hasil metode dempster shafer certainty factor diagnosis sakit kelinci hias metode certainty factor bahan banding hasil teliti atmaja judul sistem pakar diagnosis sakit kelinci metode certainty factor teliti kembang aplikasi aplikasi bangun atmaja hitung metode dempster shafer diagnosis sakit kelinci metode representasi atmaja upa rule-based system mesin inferensi forward chaining metode certainty factor dempster shafer proses hitung dasar hasil teliti contoh hasil banding tingkat akurasi metode certainty factor metode dempster shafer metode certainty factor metode dempster shafer dempster shafer forward chaining certainty factor rule-based system
